Composante	Categorie	SousCategorie	Description	Organisation	Contact	Contact2	URL	Communication	Priorite1	Priorite2	Commentaire
Stresseurs	Rejets opérationels	NA	NA	NA	NA	NA	NA	0	5	2	registre des eaux huileuses (3 ans) et eau grises, portrait des eaux de ballast, industrie (voir Caroline et Daniel)
CV	Qualité de l'eau	Turbidité	Concentrations de matières particulaires en suspension (MPS) du Saint-Laurent	ECCC	Myriame Lafrance	NA	https://ouvert.canada.ca/data/fr/dataset/520422db-8d68-40df-b7b4-5982cd448869	2	5	1	Discussion à enclancher avec les représentants du MELCC en vue d'établir les données disponibles caractérisant les données caractérisant la région d'étude sur le portail sur l'eau. Nous avons des données de turbidité et matières en suspension pour nos 9 stations dans l'Opendata, les données avant 2012 potentiellement disponibles.
CV	Qualité de l'eau	Turbidité	Saint Lawrence River Basin Long-term Water Quality Monitoring Data	ECCC	Myriame Lafrance	NA	https://open.canada.ca/data/en/dataset/10cf9528-6761-4ece-ad63-f60698ff9d51	2	5	1	Discussion à enclancher avec les représentants du MELCC en vue d'établir les données disponibles caractérisant les données caractérisant la région d'étude sur le portail sur l'eau Nous avons des données de turbidité et matières en suspension pour nos 9 stations dans l'Opendata, les données avant 2012 potentiellement disponibles
CV	Qualité de l'eau	Matière inorganique	Oxygène dissous en eaux profondes dans l'estuaire et le golfe du St-Laurent	MPO	Marjolaine Blais	NA	https://ouvert.canada.ca/data/fr/dataset/fb362c48-fe21-4e4d-abee-cf7ef92b475d	2	5	1	NA
CV	Qualité de l'eau	Matière inorganique	Oxygène dissous au fond aux stations du programme de monitorage de la zone atlantique (PMZA)-Québec.	MPO	Marjolaine Blais	NA	https://ouvert.canada.ca/data/fr/dataset/59bbb435-9516-4c64-a8ea-d5f0b7b1aee8	2	5	1	NA
CV	Qualité de l'eau	Matière inorganique	Saint Lawrence River Basin Long-term Water Quality Monitoring Data	ECCC	Myriame Lafrance	NA	https://open.canada.ca/data/en/dataset/10cf9528-6761-4ece-ad63-f60698ff9d51	2	5	1	Oxygène dissous disponible dans l'OpenData (2012 à aujourd'hui), les données avant 2012 potentiellement disponibles
CV	Qualité de l'eau	Température	Température et salinité au fond dans l'estuaire et le golfe du St-Laurent	MPO	Peter Galbraith	NA	https://ouvert.canada.ca/data/fr/dataset/10987662-c496-4ba8-a6b9-21cb5a134da2	2	5	3	NA
CV	Qualité de l'eau	Température	Saint Lawrence River Basin Long-term Water Quality Monitoring Data	ECCC	Myriame Lafrance	NA	https://open.canada.ca/data/en/dataset/10cf9528-6761-4ece-ad63-f60698ff9d51	2	5	3	Disponible dans l'Opendata (2012 à aujourd'hui), les données avant 2012 potentiellement disponibles
CV	Qualité de l'eau	Nutriments	Salinité au fond aux stations du programme de monitorage de la zone atlantique (PMZA)-Québec.	MPO	Peter Galbraith	NA	https://ouvert.canada.ca/data/fr/dataset/9571b5fa-3311-44c8-a565-d5694f34afac	2	5	2	NA
CV	Qualité de l'eau	Nutriments	Concentration de chlorophylle-a aux stations du programme de monitorage de la zone atlantique (PMZA)-Québec.	MPO	Peter Galbraith	NA	https://ouvert.canada.ca/data/fr/dataset/d155effe-048d-45cf-8683-d827dadc428b	2	5	2	NA
